"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000068912.14","ENSG00000068912.14",-0.515021946320569,0.597487481822537,0.0416546126367724,"240","157","1.67367523240766",0.557105322003578,0.0294485228737132,"ENSG00000068912","ERLEC1","endoplasmic reticulum lectin 1"
"ENSG00000277443.3","ENSG00000277443.3",0.726992214963028,2.06884858825753,0.0221904867830879,"90","307","0.483360650787036",0.565379025044723,0.0206870441632953,"ENSG00000277443","MARCKS","myristoylated alanine rich protein kinase C substrate"
"ENSG00000115053.17","ENSG00000115053.17",2.20863900904398,9.10331842414723,0.0293430200438589,"396","1","0.109850051751175",0.506456842576029,0.00642407468117587,"ENSG00000115053","NCL","nucleolin"
"ENSG00000071537.14","ENSG00000071537.14",-0.858715052746984,0.423706172761902,0.0063113136927778,"289","108","2.36012610692349",0.578823792486583,0.0227711294606428,"ENSG00000071537","SEL1L","SEL1L adaptor subunit of SYVN1 ubiquitin ligase"
"ENSG00000172037.14","ENSG00000172037.14",-0.64104358081831,0.526742438810611,0.0153972468949763,"60","337","1.89846104342382",0.532396019677996,0.0239874767058385,"ENSG00000172037","LAMB2","laminin subunit beta 2"
"ENSG00000058799.15","ENSG00000058799.15",-1.8035461573654,0.164713750460105,0.0118931329294025,"348","49","6.07113854918998",0.556490384615385,0.0119301560433219,"ENSG00000058799","YIPF1","Yip1 domain family member 1"
"ENSG00000100906.11","ENSG00000100906.11",0.545747671829424,1.72589830564028,0.044301923821776,"325","72","0.579408414002131",0.535023479427549,0.0266729453996513,"ENSG00000100906","NFKBIA","NFKB inhibitor alpha"
"ENSG00000100201.23","ENSG00000100201.23",0.872868352560164,2.39376718386737,0.000144441689376266,"279","118","0.417751570302839",0.593358676207513,0.031097881893791,"ENSG00000100201","DDX17","DEAD-box helicase 17"
"ENSG00000129625.13","ENSG00000129625.13",-1.18714280236716,0.305091727292814,0.0107182944429308,"11","386","3.27770277114149",0.528594588550984,0.0166700332314907,"ENSG00000129625","REEP5","receptor accessory protein 5"
"ENSG00000102580.15","ENSG00000102580.15",-0.642315430437922,0.526072927489285,0.00506858442011659,"128","269","1.90087713650759",0.579075357781753,0.031202001974194,"ENSG00000102580","DNAJC3","DnaJ heat shock protein family (Hsp40) member C3"
"ENSG00000106003.13","ENSG00000106003.13",-0.574395810433258,0.56304495194484,0.0239166732374807,"80","317","1.77605712749196",0.557440742397138,0.029449185264848,"ENSG00000106003","LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"ENSG00000065534.19","ENSG00000065534.19",-1.28097397531828,0.277766630819161,0.013634739943181,"9","388","3.60014447038114",0.521578711985689,0.0149738812828807,"ENSG00000065534","MYLK","myosin light chain kinase"
"ENSG00000125166.13","ENSG00000125166.13",-0.507975512674151,0.601712505911908,0.0264999290031729,"173","224","1.66192324436481",0.581199686940966,0.0312330061828276,"ENSG00000125166","GOT2","glutamic-oxaloacetic transaminase 2"
"ENSG00000117335.20","ENSG00000117335.20",-0.63440648018902,0.53025010888596,0.0375101306903618,"285","112","1.88590248873493",0.566329382826476,0.0237755065690368,"ENSG00000117335","CD46","CD46 molecule"
"ENSG00000135842.17","ENSG00000135842.17",-0.619918546697209,0.537988256730417,0.0157117858971784,"80","317","1.85877663218418",0.575245974955277,0.0297583018720622,"ENSG00000135842","NIBAN1","niban apoptosis regulator 1"
"ENSG00000124098.10","ENSG00000124098.10",-1.18281763796286,0.306414156973075,0.0107584788127007,"12","385","3.26355678170533",0.534967576028623,0.0188709111668708,"ENSG00000124098","FAM210B","family with sequence similarity 210 member B"
"ENSG00000170540.15","ENSG00000170540.15",2.16857364414433,8.74580051610442,0.000306623240610626,"390","7","0.114340591025214",0.525156529516995,0.0152731746172429,"ENSG00000170540","ARL6IP1","ARL6 interacting reticulophagy regulator 1"
"ENSG00000067082.15","ENSG00000067082.15",-1.56339052954637,0.209424805108325,0.00269030646615619,"8","389","4.77498355308365",0.527308810375671,0.0158940273153239,"ENSG00000067082","KLF6","KLF transcription factor 6"
"ENSG00000119318.13","ENSG00000119318.13",0.553246483605316,1.73888913921131,0.0186862374622688,"285","112","0.575079789418641",0.570717799642218,0.0311384596722361,"ENSG00000119318","RAD23B","RAD23 nucleotide excision repair protein B"
"ENSG00000116016.14","ENSG00000116016.14",-0.728735692367532,0.482518656626345,0.0035104059284178,"75","322","2.07245872520611",0.569935152057245,0.0284745821545456,"ENSG00000116016","EPAS1","endothelial PAS domain protein 1"
"ENSG00000206538.9","ENSG00000206538.9",-0.751536976274279,0.47164109420578,0.00457035076761117,"60","337","2.12025629718282",0.564233005366726,0.0272848669371169,"ENSG00000206538","VGLL3","vestigial like family member 3"
"ENSG00000176101.12","ENSG00000176101.12",0.465453924850333,1.59273700772983,0.049956366171358,"184","213","0.627850043759157",0.562779516994633,0.0304506045419468,"ENSG00000176101","SSNA1","SS nuclear autoantigen 1"
"ENSG00000231475.3","ENSG00000231475.3",0.522974812422005,1.6870388163903,0.0442816368798528,"149","248","0.592754588859827",0.555400268336315,0.0285817209694404,"ENSG00000231475","IGHV4-30-2","immunoglobulin heavy variable 4-30-2"
"ENSG00000211637.2","ENSG00000211637.2",0.541045998789022,1.71780274236516,0.0346031598773258,"156","241","0.582139017092933",0.56459637745975,0.0288014025853001,"ENSG00000211637","IGLV4-69","immunoglobulin lambda variable 4-69"
"ENSG00000075223.14","ENSG00000075223.14",-0.832377622812483,0.435013757127756,0.000313854670211581,"114","283","2.29877787452666",0.604315742397138,0.0309744724843819,"ENSG00000075223","SEMA3C","semaphorin 3C"
"ENSG00000214530.9","ENSG00000214530.9",-0.460695600566896,0.630844676936332,0.0475316383786351,"202","195","1.58517625108046",0.552633050089445,0.0311888068624642,"ENSG00000214530","STARD10","StAR related lipid transfer domain containing 10"
"ENSG00000137267.6","ENSG00000137267.6",-0.531355383023242,0.587807724903123,0.0213188378470344,"151","246","1.70123657385552",0.570969364937388,0.0314618124461085,"ENSG00000137267","TUBB2A","tubulin beta 2A class IIa"
"ENSG00000114850.7","ENSG00000114850.7",-0.541493479352225,0.581878579472434,0.030171466247017,"231","166","1.71857159771487",0.567754919499106,0.0297516552299785,"ENSG00000114850","SSR3","signal sequence receptor subunit 3"
"ENSG00000167996.16","ENSG00000167996.16",0.719036472738406,2.05245466158436,0.00169449457679144,"258","139","0.487221481047512",0.602582737030411,0.0309389280003765,"ENSG00000167996","FTH1","ferritin heavy chain 1"
"ENSG00000171517.6","ENSG00000171517.6",-0.592336722244196,0.553033488048158,0.0120253120860481,"116","281","1.80820876422753",0.577174642218247,0.0308608288198145,"ENSG00000171517","LPAR3","lysophosphatidic acid receptor 3"
"ENSG00000198830.11","ENSG00000198830.11",0.603324210663053,1.82818598585036,0.00976348206658998,"274","123","0.54699029953173",0.577482110912343,0.0313182866717389,"ENSG00000198830","HMGN2","high mobility group nucleosomal binding domain 2"
"ENSG00000197451.12","ENSG00000197451.12",0.728996178770267,2.07299864284181,0.00139419845105811,"259","138","0.482392983446015",0.594113372093023,0.0313804146334569,"ENSG00000197451","HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B"
"ENSG00000129354.12","ENSG00000129354.12",0.905727398736777,2.47373065733491,0.0157354380948538,"377","20","0.404247728844237",0.525939177101968,0.0175369255736051,"ENSG00000129354","AP1M2","adaptor related protein complex 1 subunit mu 2"
"ENSG00000092068.20","ENSG00000092068.20",-1.02616882834901,0.358377338916839,0.000364680462786509,"247","150","2.79035500130227",0.619717128801431,0.0245960459505518,"ENSG00000092068","SLC7A8","solute carrier family 7 member 8"
"ENSG00000107175.12","ENSG00000107175.12",-1.66521358495297,0.189150254019188,0.00130901024536943,"6","391","5.28680231060411",0.522864490161002,0.0140618976440049,"ENSG00000107175","CREB3","cAMP responsive element binding protein 3"
"ENSG00000175121.11","ENSG00000175121.11",0.690655494480054,1.9950228311864,0.0236905470737716,"359","38","0.501247396454765",0.51520572450805,0.0181197331120862,"ENSG00000175121","WFDC5","WAP four-disulfide core domain 5"
"ENSG00000198961.10","ENSG00000198961.10",-0.5567803736116,0.573051107378837,0.0429778505162344,"56","341","1.74504505291692",0.541787790697674,0.024595489160614,"ENSG00000198961","PJA2","praja ring finger ubiquitin ligase 2"
