"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000062370.17","ENSG00000062370.17",1.59705706264284,4.93847738802722,0.0310707537040897,"367","30","0.202491561958831",0.592307692307692,0.097133129341023,"ENSG00000062370","ZNF112","zinc finger protein 112"
"ENSG00000263847.1","ENSG00000263847.1",2.54296847792536,12.7173662152817,0.00466146654160949,"389","8","0.078632633760154",0.613461538461539,0.0977432243327539,"ENSG00000263847",NA,NA
"ENSG00000103550.14","ENSG00000103550.14",3.26595699500703,26.2051772185389,0.00309268877706666,"395","2","0.0381603982930727",0.615705128205128,0.0982919318495286,"ENSG00000103550","KNOP1","lysine rich nucleolar protein 1"
"ENSG00000135100.18","ENSG00000135100.18",1.87744791983673,6.53680111614801,0.00876092198691932,"316","81","0.152980025280206",0.757371794871795,0.0846410861460002,"ENSG00000135100","HNF1A","HNF1 homeobox A"
"ENSG00000265429.3","ENSG00000265429.3",2.76790148064602,15.9251796220785,0.0125630186905515,"388","9","0.0627936402433797",0.561217948717949,0.0634874262702113,"ENSG00000265429","MIR4782","microRNA 4782"
"ENSG00000252768.1","ENSG00000252768.1",2.26372948723244,9.6188959043413,0.0028759817557984,"327","70","0.103962035762199",0.707692307692308,0.10195445637021,"ENSG00000252768","RNU6-856P","RNA, U6 small nuclear 856, pseudogene"
"ENSG00000286285.1","ENSG00000286285.1",-2.57338937904612,0.0762765765696898,0.0023267006412729,"9","388","13.1101846067561",0.574358974358974,0.0703847926774823,"ENSG00000286285",NA,NA
"ENSG00000240399.1","ENSG00000240399.1",2.9035175686127,18.2381867416842,0.000383598005224388,"343","54","0.0548300121148806",0.814102564102564,0.0817570508908053,"ENSG00000240399","RPL37P19","ribosomal protein L37 pseudogene 19"
"ENSG00000236901.6","ENSG00000236901.6",2.39104600746299,10.9249155116352,0.0043825966808051,"384","13","0.0915338886543315",0.639423076923077,0.0983922097921086,"ENSG00000236901","MIR600HG","MIR600 host gene"
"ENSG00000206913.1","ENSG00000206913.1",1.71080452081588,5.53341143202343,0.0173501034985933,"361","36","0.180720340839417",0.680448717948718,0.101246467246342,"ENSG00000206913","LOC124902824","small nucleolar RNA SNORA7"
"ENSG00000272153.1","ENSG00000272153.1",1.5959602632358,4.93306383828813,0.0252915799395244,"281","116","0.202713776423988",0.759615384615385,0.0725282663660887,"ENSG00000272153",NA,NA
"ENSG00000264201.1","ENSG00000264201.1",2.02600409203915,7.58372187772332,0.0180384641848199,"385","12","0.131861375736554",0.608012820512821,0.0969798732688164,"ENSG00000264201","MIR4701","microRNA 4701"
